0	0
0.08	0.08
0.06	0.06
0.1	0.1
0.08	0.08
0.09	0.15
0.1	0.1
0.15	0.02
0.2	0.14
0	0
0.18	0.18
0.06	0.06
0.1	0.1
0.1	0.1
0.2	0.2
0.12	0.12
0.05	0.07
0.1	0.25
0.15	0.32
0.2	0.29
0.12	0.28
0.18	0.3
0.1	0.27
0.18	0.31
0.06	0.29
0.09	0.3
0.04	0.28
0.09	0.255
0.08	0.325
0.15	0.275
0.12	0.245
0.15	0.295
0.1	0.256
0.18	0.32
0.2	0.45
0.06	0.35
0.1	0.42
0.18	0.4
0.09	0.33
0.19	0.38
0.02	0.33
0.2	0.49
0.14	0.49
0.18	0.33
0.115	0.35
0.17	0.36
0.1	0.39
0.13	0.39
0.18	0.34
0.09	0.51
0.06	0.5
0.23	0.7
0.09	0.55
0.24	0.75
0.18	0.72
0.1	0.6
0.2	0.52
0.09	0.6
0.18	0.51
0.08	0.58
0.09	0.61
0.06	0.77
0.15	0.79
0.2	0.68
0.24	0.58
0.25	0.1
0.32	0.2
0.29	0.06
0.28	0.1
0.3	0.08
0.27	0.12
0.31	0.1
0.29	0.15
0.3	0.2
0.28	0.16
0.255	0.18
0.265	0.06
0.275	0.1
0.245	0.1
0.295	0.2
0.32	0.12
0.295	0.25
0.315	0.32
0.25	0.29
0.27	0.1
0.248	0.3
0.325	0.25
0.27	0.31
0.29	0.29
0.29	0.3
0.258	0.28
0.32	0.255
0.251	0.265
0.288	0.31
0.323	0.32
0.255	0.305
0.295	0.25
0.258	0.25
0.29	0.25
0.243	0.27
0.27	0.28
0.299	0.32
0.3	0.27
0.245	0.26
0.295	0.29
0.29	0.3
0.26	0.28
0.305	0.255
0.32	0.27
0.299	0.295
0.276	0.255
0.258	0.31
0.32	0.28
0.329	0.55
0.295	0.59
0.285	0.64
0.265	0.6
0.315	0.69
0.28	0.78
0.325	0.61
0.28	0.65
0.255	0.75
0.305	0.55
0.3	0.85
0.325	0.9
0.312	0.8
0.299	0.7
0.265	0.76
0.255	0.72
0.295	0.6
0.39	0.05
0.4	0.18
0.45	0.04
0.48	0.12
0.4	0.12
0.41	0.18
0.38	0.1
0.37	0.06
0.41	0.09
0.38	0.01
0.33	0.04
0.42	0.15
0.44	0.08
0.39	0.15
0.42	0.21
0.46	0.2
0.365	0.243
0.33	0.27
0.345	0.299
0.48	0.3
0.49	0.245
0.334	0.295
0.36	0.29
0.39	0.26
0.43	0.305
0.44	0.32
0.45	0.299
0.495	0.276
0.465	0.258
0.475	0.32
0.348	0.329
0.385	0.26
0.445	0.39
0.43	0.45
0.33	0.34
0.4	0.33
0.34	0.4
0.38	0.36
0.35	0.38
0.41	0.49
0.42	0.36
0.43	0.38
0.44	0.33
0.4	0.42
0.46	0.44
0.38	0.39
0.39	0.42
0.49	0.34
0.46	0.64
0.44	0.55
0.365	0.68
0.45	0.65
0.46	0.78
0.37	0.55
0.38	0.59
0.49	0.64
0.495	0.82
0.44	0.69
0.365	0.57
0.49	0.9
0.445	0.7
0.42	0.7
0.37	0.6
0.4	0.61
0.6	0.14
0.55	0.1
0.68	0.19
0.73	0.2
0.78	0.15
0.55	0.1
0.59	0.18
0.64	0.09
0.6	0.19
0.69	0.02
0.78	0.21
0.62	0.14
0.7	0.18
0.75	0.015
0.55	0.17
0.85	0.05
0.78	0.27
0.8	0.29
0.9	0.26
0.76	0.258
0.72	0.32
0.6	0.251
0.52	0.288
0.6	0.31
0.51	0.255
0.58	0.295
0.61	0.258
0.77	0.267
0.79	0.28
0.68	0.27
0.58	0.299
0.77	0.29
0.71	0.475
0.58	0.348
0.88	0.335
0.99	0.49
0.73	0.43
0.61	0.33
0.51	0.4
0.83	0.44
0.66	0.38
0.58	0.35
0.523	0.41
0.66	0.36
0.62	0.37
0.52	0.44
0.5	0.4
0.71	0.46
0.64	0.55
0.52	0.85
0.62	0.62
0.91	0.58
0.62	0.67
0.58	0.58
0.89	0.68
0.72	0.6
0.68	0.63
0.56	0.6
0.54	0.51
0.61	0.78
0.78	0.61
0.54	0.82
0.5	0.75
0.66	0.9
